OpenSAFT Database File;;;;
SAFTgammaMie Unlike Parameters;;;;
species1;species2;epsilon;lambda_r;source
CH3;CH3;256.77;15.05;
CH3;CH2;350.77;;
CH3;CH;387.48;;
CH3;C;339.91;;
CH3;aCH;305.81;;
CH3;aCCH2;396.91;;
CH3;aCCH;455.85;;
CH3;CH2=;333.48;;
CH3;CH=;252.41;;
CH3;cCH2;355.95;;
CH3;COOH;255.99;;
CH3;CH3COCH3;233.48;14.449;
CH3;COO;402.75;;
CH3;H2O;274.8;;
CH3;CH3OH;275.76;15.537;
CH2;CH2;473.39;19.871;
CH2;CH;506.21;;
CH2;C;300.07;;
CH2;aCH;415.64;;
CH2;aCCH2;454.16;;
CH2;aCCH;345.8;;
CH2;CH2=;386.8;;
CH2;CH=;459.4;;
CH2;cCH2;469.67;;
CH2;COOH;413.74;;
CH2;CH3COCH3;299.48;11.594;
CH2;COO;498.86;;
CH2;H2O;284.53;;
CH2;CH3OH;341.41;17.05;
CH;CH;95.621;8;
CH;aCH;441.43;;
CH;aCCH2;65.41;;
CH;aCCH;67.51;;
CH;CH2=;426.76;;
CH;CH=;502.99;;
CH;cCH2;570.45;;
CH;COOH;504.99;;
CH;CH3COCH3;637.29;;
CH;H2O;101.89;;
C;C;50.02;8;
aCH;aCH;371.53;14.756;
aCH;aCCH2;416.69;;
aCH;aCCH;429.16;;
aCH;COOH;331.61;9.0687;
aCH;CH3COCH3;333.11;;
aCH;H2O;357.78;38.64;
aCCH2;aCCH2;591.56;8.5433;
aCCH2;aCCH;462.04;;
aCCH2;COOH;473.66;;
aCCH2;CH3COCH3;394.83;;
aCCH2;H2O;220;;
aCCH;aCCH;61.325;8;
aCCH;COOH;599.28;;
aCCH;CH3COCH3;459.22;;
aCCH;H2O;190;;
CH2=;CH2=;300.9;20.271;
CH2=;CH=;275.75;;
CH=;CH=;952.54;15.974;
CH=;cCH2;398.35;;
cCH2;cCH2;477.36;20.386;
cCH2;COO;498.6;;
COOH;COOH;405.78;8;
COOH;CH3COCH3;393.71;;
COOH;H2O;399;;
CH3COCH3;CH3COCH3;286.02;17.433;
CH3COCH3;H2O;287.26;;
COO;COO;868.92;31.189;
H2O;H2O;266.68;17.02;
H2O;CH3OH;278.45;;
CH3OH;CH3OH;307.69;19.235;
